i,x,a,b,c,u,uxp,uxs,uxas,uxe
0,0.000000,0.333333,1.000000,0.333333,0.000000,7.978627,0.000000,7.978627,8.000000
1,0.161107,0.333333,1.000000,0.333333,0.960518,2.219793,4.887812,2.219793,2.225740
2,0.322215,0.333333,1.000000,0.333333,0.534466,-6.743457,-7.762549,-6.743457,-6.761521
3,0.483322,0.333333,1.000000,0.333333,-0.663123,-5.972088,-5.582829,-5.972088,-5.988086
4,0.644429,0.333333,1.000000,0.333333,-0.903450,3.420378,3.271694,3.420378,3.429540
5,0.805537,0.333333,1.000000,0.333333,0.160411,7.875306,7.932098,7.875306,7.896402
6,0.966644,0.333333,1.000000,0.333333,0.992709,0.961717,0.940025,0.961717,0.964293
7,1.127751,0.333333,1.000000,0.333333,0.391967,-7.340173,-7.331887,-7.340173,-7.359836
8,1.288859,0.333333,1.000000,0.333333,-0.774605,-5.046046,-5.049211,-5.046046,-5.059563
9,1.449966,0.333333,1.000000,0.333333,-0.822984,4.532377,4.533586,4.532377,4.544518
10,1.611073,0.333333,1.000000,0.333333,0.316668,7.568019,7.567557,7.568019,7.588292
11,1.772180,0.333333,1.000000,0.333333,0.999189,-0.321267,-0.321091,-0.321267,-0.322128
12,1.933288,0.333333,1.000000,0.333333,0.239316,-7.746783,-7.746850,-7.746783,-7.767535
13,2.094395,0.333333,1.000000,0.333333,-0.866025,-3.989314,-3.989288,-3.989314,-4.000000
14,2.255502,0.333333,1.000000,0.333333,-0.721202,5.526989,5.526979,5.526989,5.541795
15,2.416610,0.333333,1.000000,0.333333,0.464723,7.064723,7.064727,7.064723,7.083648
16,2.577717,0.333333,1.000000,0.333333,0.979791,-1.595930,-1.595932,-1.595930,-1.600206
17,2.738824,0.333333,1.000000,0.333333,0.080467,-7.952755,-7.952754,-7.952755,-7.974058
18,2.899932,0.333333,1.000000,0.333333,-0.935016,-2.829260,-2.829260,-2.829260,-2.836839
19,3.061039,0.333333,1.000000,0.333333,-0.600742,6.378456,6.378456,6.378456,6.395542
20,3.222146,0.333333,1.000000,0.333333,0.600742,6.378456,6.378456,6.378456,6.395542
21,3.383254,0.333333,1.000000,0.333333,0.935016,-2.829260,-2.829260,-2.829260,-2.836839
22,3.544361,0.333333,1.000000,0.333333,-0.080467,-7.952755,-7.952754,-7.952755,-7.974058
23,3.705468,0.333333,1.000000,0.333333,-0.979791,-1.595930,-1.595932,-1.595930,-1.600206
24,3.866576,0.333333,1.000000,0.333333,-0.464723,7.064723,7.064727,7.064723,7.083648
25,4.027683,0.333333,1.000000,0.333333,0.721202,5.526989,5.526979,5.526989,5.541795
26,4.188790,0.333333,1.000000,0.333333,0.866025,-3.989314,-3.989288,-3.989314,-4.000000
27,4.349898,0.333333,1.000000,0.333333,-0.239316,-7.746783,-7.746850,-7.746783,-7.767535
28,4.511005,0.333333,1.000000,0.333333,-0.999189,-0.321267,-0.321091,-0.321267,-0.322128
29,4.672112,0.333333,1.000000,0.333333,-0.316668,7.568019,7.567557,7.568019,7.588292
30,4.833219,0.333333,1.000000,0.333333,0.822984,4.532377,4.533586,4.532377,4.544518
31,4.994327,0.333333,1.000000,0.333333,0.774605,-5.046046,-5.049211,-5.046046,-5.059563
32,5.155434,0.333333,1.000000,0.333333,-0.391967,-7.340173,-7.331887,-7.340173,-7.359836
33,5.316541,0.333333,1.000000,0.333333,-0.992709,0.961717,0.940025,0.961717,0.964293
34,5.477649,0.333333,1.000000,0.333333,-0.160411,7.875306,7.932098,7.875306,7.896402
35,5.638756,0.333333,1.000000,0.333333,0.903450,3.420378,3.271694,3.420378,3.429540
36,5.799863,0.333333,1.000000,0.333333,0.663123,-5.972088,-5.582829,-5.972088,-5.988086
37,5.960971,0.333333,1.000000,0.333333,-0.534466,-6.743457,-7.762549,-6.743457,-6.761521
38,6.122078,0.333333,1.000000,0.333333,-0.960518,2.219793,4.887812,2.219793,2.225740
39,6.283185,0.333333,1.000000,0.333333,-0.000000,7.978627,0.000000,7.978627,8.000000
